0	0
0.002387	0.00366701
0.006688	0.00510352
0.012877	0.00714586
0.020916	0.00977495
0.030762	0.0129513
0.042366	0.0166254
0.055671	0.02073767
0.070615	0.02522672
0.087131	0.03002282
0.105149	0.03505511
0.124594	0.04023161
0.145389	0.0454876
0.167454	0.05075365
0.190708	0.05595404
0.215068	0.06101515
0.240448	0.06586405
0.266763	0.07043246
0.293925	0.07465364
0.321844	0.07846629
0.35043	0.08181319
0.379589	0.08464341
0.409225	0.08691072
0.43924	0.08857784
0.469533	0.08961533
0.5	0.09
0.530535	0.08969686
0.561029	0.08872966
0.591369	0.08710607
0.621443	0.08484295
0.651135	0.08196887
0.680328	0.07852174
0.708907	0.07454855
0.736754	0.07010631
0.763754	0.06526068
0.789793	0.06008257
0.814758	0.05465294
0.838542	0.04905532
0.861037	0.04337873
0.882145	0.03771334
0.901767	0.03215119
0.919815	0.02678356
0.936203	0.02170093
0.950855	0.0169868
0.9637	0.01272219
0.974678	0.00897967
0.983733	0.00582442
0.990824	0.00331008
0.995913	0.00148206
0.998977	0.00037244
1	0
